Loan_ID;Gender;Married;Dependents;Education;Self_Employed;ApplicantIncome;CoapplicantIncome;LoanAmount;Loan_Amount_Term;Credit_History;Property_Area;
LP002116;Female;No;0;Graduate;No;2378;0;46;360;1;Rural;N
LP001754;Male;Yes;;Not Graduate;Yes;4735;0;138;360;1;Urban;N
LP001497;Male;Yes;2;Graduate;No;5042;2083;185;360;1;Rural;N
LP002625;;No;0;Graduate;No;3583;0;96;360;1;Urban;N
LP002517;Male;Yes;1;Not Graduate;No;2653;1500;113;180;0;Rural;N
LP002407;Female;Yes;0;Not Graduate;Yes;7142;0;138;360;1;Rural;Y
LP002360;Male;Yes;;Graduate;No;10000;0;;360;1;Urban;
LP001572;Male;Yes;0;Graduate;No;9323;0;75;180;1;Urban;Y
LP002329;Male;No;0;Graduate;No;4333;0;66;480;1;Urban;
LP002212;Male;Yes;0;Graduate;No;2166;2166;108;360;;Urban;
LP002530;;Yes;2;Graduate;No;2873;1872;132;360;0;Semiurban;N
LP001486;Male;Yes;1;Graduate;No;4364;2500;185;360;1;Semiurban;
LP001599;Male;Yes;0;Graduate;No;4167;4754;160;360;1;Rural;
LP002938;Male;Yes;0;Graduate;Yes;16120;0;260;360;1;Urban;Y
LP001407;Male;Yes;0;Graduate;No;3189;2367;186;360;1;Urban;
LP002941;Male;Yes;2;Not Graduate;Yes;6383;1000;187;360;1;Rural;N
LP002989;Male;No;0;Graduate;Yes;9200;0;98;180;1;Rural;
LP001728;Male;Yes;1;Graduate;Yes;3343;1517;105;360;1;Rural;
LP001514;Female;Yes;0;Graduate;No;2330;4486;100;360;1;Semiurban;Y
LP002921;Male;Yes;3;Not Graduate;No;5316;187;158;180;0;Semiurban;
LP001323;Female;Yes;2;Graduate;No;2779;3664;176;360;0;Semiurban;
LP002593;Male;Yes;1;Graduate;No;8333;4000;;360;1;Urban;
LP002358;Male;Yes;2;Graduate;Yes;5000;2166;150;360;1;Urban;
LP002932;Male;Yes;3;Graduate;No;7603;1213;197;360;1;Urban;
LP002547;Male;Yes;1;Graduate;No;18333;0;500;360;1;Urban;N
LP001220;Male;Yes;0;Graduate;No;5629;818;100;360;1;Urban;
LP001472;Female;No;0;Graduate;;5058;0;200;360;1;Rural;
LP002069;Male;Yes;2;Not Graduate;;3785;2912;180;360;0;Rural;
LP001267;Female;Yes;2;Graduate;No;1378;1881;167;360;1;Urban;N
LP001359;Male;Yes;0;Graduate;No;7666;0;187;360;1;Semiurban;
LP001915;Male;Yes;2;Graduate;No;2301;985.7999878;78;180;1;Urban;Y
LP001034;Male;No;1;Not Graduate;No;3596;0;100;240;;Urban;Y
LP001771;Female;No;3;Graduate;No;4083;0;103;360;;Semiurban;
LP001657;Male;Yes;0;Not Graduate;No;6033;0;160;360;1;Urban;N
LP001319;Male;Yes;2;Not Graduate;No;3273;1820;81;360;1;Urban;Y
LP001613;Female;No;0;Graduate;No;1762;2666;104;360;0;Urban;
LP001643;Male;Yes;0;Graduate;No;2383;2138;58;360;;Rural;Y
LP002738;Male;No;2;Graduate;No;3617;0;107;360;1;Semiurban;Y
LP002602;Male;No;0;Graduate;No;6283;4416;209;360;0;Rural;N
LP002899;Male;Yes;2;Graduate;No;8667;0;254;360;1;Rural;
LP002130;Male;Yes;;Not Graduate;No;3523;3230;152;360;0;Rural;N
LP002961;Male;Yes;1;Graduate;No;3400;2500;173;360;1;Semiurban;Y
LP001562;Male;Yes;0;Graduate;No;7933;0;275;360;1;Urban;N
LP002768;Male;No;0;Not Graduate;No;3358;0;80;36;1;Semiurban;N
LP002453;Male;No;0;Graduate;Yes;7085;0;84;360;1;Semiurban;Y
LP001096;Female;No;0;Graduate;No;4666;0;124;360;1;Semiurban;
LP001018;Male;Yes;2;Graduate;No;4006;1526;168;360;1;Urban;Y
LP001445;Male;Yes;2;Not Graduate;No;4136;0;149;480;0;Rural;
LP002888;Male;No;0;Graduate;;3182;2917;161;360;1;Urban;Y
LP002036;Male;Yes;0;Graduate;No;2058;2134;88;360;;Urban;Y
LP002065;Male;Yes;3;Graduate;No;15000;0;300;360;1;Rural;Y
LP001471;Male;No;2;Not Graduate;No;3235;2015;77;360;1;Semiurban;
LP002975;Male;Yes;0;Graduate;No;4158;709;115;360;1;Urban;
LP002495;Male;Yes;2;Graduate;No;5667;440;130;360;0;Semiurban;
LP001975;Male;Yes;0;Graduate;No;5225;0;143;360;1;Rural;
LP001713;Male;Yes;1;Graduate;Yes;7787;0;240;360;1;Urban;Y
LP001548;Male;Yes;2;Not Graduate;No;2687;0;50;180;1;Rural;
LP002731;Female;No;0;Not Graduate;Yes;18165;0;125;360;1;Urban;Y
LP002555;Male;Yes;2;Graduate;Yes;4583;2083;160;360;1;Semiurban;Y
LP001008;Male;No;0;Graduate;No;6000;0;141;360;1;Urban;Y
LP001232;Male;Yes;0;Graduate;No;4260;3900;185;;;Urban;
LP002101;Male;Yes;0;Graduate;;63337;0;490;180;1;Urban;Y
LP001233;Male;Yes;1;Graduate;No;10750;0;312;360;1;Urban;Y
LP001120;Male;No;0;Graduate;No;1800;1213;47;360;1;Urban;Y
LP001751;Male;Yes;0;Graduate;No;3250;0;170;360;1;Rural;N
LP002126;Male;Yes;3;Not Graduate;No;3173;0;74;360;1;Semiurban;Y
LP001082;Male;Yes;1;Graduate;;2185;1516;162;360;1;Semiurban;
LP002183;Male;Yes;0;Not Graduate;No;3754;3719;118;;1;Rural;
LP002876;Male;No;0;Graduate;No;6858;0;176;360;1;Rural;
LP002706;Male;Yes;1;Not Graduate;No;5285;1430;161;360;0;Semiurban;Y
LP002113;Female;No;3;Not Graduate;No;1830;0;;360;0;Urban;N
LP001817;Male;No;0;Not Graduate;Yes;8703;0;199;360;0;Rural;
LP002639;Male;Yes;2;Graduate;No;4120;0;128;360;1;Rural;
LP002568;Male;No;0;Not Graduate;No;9000;0;122;360;1;Rural;
LP002369;Male;Yes;0;Graduate;No;2920;16.12000084;87;360;1;Rural;Y
LP002281;Male;Yes;0;Graduate;No;3033;1459;95;360;1;Urban;Y
LP002328;Male;Yes;0;Not Graduate;No;6096;0;218;360;0;Rural;N
LP002158;Male;Yes;0;Not Graduate;No;3000;1666;100;480;0;Urban;N
LP002004;Male;No;0;Not Graduate;No;2927;2405;111;360;1;Semiurban;Y
LP002141;Male;Yes;3;Graduate;No;2666;2083;95;360;1;Rural;Y
LP001979;Male;No;0;Graduate;No;3017;2845;159;180;0;Urban;
LP002729;Male;No;1;Graduate;No;11250;0;196;360;;Semiurban;N
LP001640;Male;Yes;0;Graduate;Yes;39147;4750;120;360;1;Semiurban;Y
LP002264;Male;Yes;0;Graduate;No;2553;1768;102;360;1;Urban;
LP002712;Male;No;2;Not Graduate;No;2733;1083;180;360;;Semiurban;
LP001183;Male;Yes;2;Graduate;No;6250;820;192;360;1;Urban;
LP001491;Male;Yes;2;Graduate;Yes;3316;3500;88;360;1;Urban;Y
LP002928;Male;Yes;0;Graduate;No;3000;3416;56;180;1;Semiurban;Y
LP001947;Male;Yes;0;Graduate;No;2383;3334;172;360;1;Semiurban;Y
LP002572;Male;Yes;1;Graduate;;8750;0;297;360;1;Urban;
LP002527;Male;Yes;2;Graduate;Yes;16525;1014;150;360;1;Rural;Y
LP002444;Male;No;1;Not Graduate;Yes;2769;1542;190;360;;Semiurban;N
LP002840;Female;No;0;Graduate;No;2378;0;9;360;1;Urban;N
LP001788;Female;No;0;Graduate;Yes;3463;0;122;360;;Urban;Y
LP001607;Female;No;0;Not Graduate;No;0;1760;180;360;1;Semiurban;
LP001243;Male;Yes;0;Graduate;No;3208;3066;172;360;1;Urban;Y
LP001813;Male;No;0;Graduate;Yes;6050;4333;120;180;1;Urban;N
LP002455;Male;Yes;2;Graduate;No;3859;0;96;360;1;Semiurban;Y
LP001499;Female;Yes;3;Graduate;No;6260;0;110;360;1;Semiurban;
LP001488;Male;Yes;3;Graduate;No;4000;7750;290;360;1;Semiurban;N
LP001849;Male;No;0;Not Graduate;No;6045;0;115;360;0;Rural;N
LP001422;Female;No;0;Graduate;No;10408;0;259;360;1;Urban;Y
LP001666;Male;No;0;Graduate;No;8333;3750;187;360;1;Rural;Y
LP002055;Female;No;0;Graduate;No;3166;2985;132;360;;Rural;Y
LP001547;Male;Yes;1;Graduate;No;3901;0;116;360;1;Urban;
LP001338;Female;No;2;Graduate;No;4968;0;189;360;1;Semiurban;
LP002118;Female;No;0;Graduate;No;1937;1152;78;360;1;Semiurban;
LP001333;Male;Yes;0;Graduate;No;1977;997;50;360;1;Semiurban;Y
LP001994;Female;No;0;Graduate;No;2400;1863;104;360;0;Urban;N
LP002045;Male;Yes;3;Graduate;No;10166;750;150;;1;Urban;
LP002142;Female;Yes;0;Graduate;Yes;5500;0;105;360;0;Rural;N
LP002342;Male;Yes;2;Graduate;Yes;1600;20000;239;360;1;Urban;N
LP001483;Male;Yes;3;Graduate;No;13518;0;390;360;1;Rural;
LP002795;Male;Yes;3;Graduate;Yes;10139;0;260;360;1;Semiurban;Y
LP002615;Male;Yes;2;Graduate;No;4865;5624;208;360;1;Semiurban;Y
LP002536;Male;Yes;3;Not Graduate;No;3095;0;113;360;1;Rural;Y
LP001896;Male;Yes;2;Graduate;No;3900;0;90;360;1;Semiurban;Y
LP002501;;Yes;0;Graduate;No;16692;0;110;360;1;Semiurban;Y
LP001136;Male;Yes;0;Not Graduate;Yes;4695;0;96;;1;Urban;Y
LP002879;Male;Yes;0;Graduate;No;3391;1966;133;360;0;Rural;
LP002643;Male;Yes;2;Graduate;No;3283;2035;148;360;1;Urban;Y
LP002379;Male;No;0;Graduate;No;6500;0;105;360;0;Rural;N
LP001176;Male;No;0;Graduate;No;2942;2382;125;180;1;Urban;
LP001312;Male;Yes;0;Not Graduate;Yes;5293;0;92;360;1;Urban;
LP001370;Male;No;0;Not Graduate;;7333;0;120;360;1;Rural;N
LP001219;Male;No;0;Graduate;No;3643;1963;138;360;1;Urban;
LP001867;Male;Yes;0;Graduate;No;4333;2291;133;350;1;Rural;
LP002714;Male;No;1;Not Graduate;No;2679;1302;94;360;1;Semiurban;Y
LP001815;Male;No;0;Not Graduate;No;3276;0;90;360;1;Semiurban;
LP002240;Male;Yes;0;Not Graduate;No;3500;2168;149;360;1;Rural;
LP001990;Male;No;0;Not Graduate;No;2000;0;;360;1;Urban;N
LP002250;Male;Yes;0;Graduate;No;5488;0;125;360;1;Rural;Y
LP001749;Male;Yes;0;Graduate;No;7578;1010;175;;1;Semiurban;Y
LP002106;Male;Yes;;Graduate;Yes;5503;4490;70;;1;Semiurban;Y
LP001073;Male;Yes;2;Not Graduate;No;4226;1040;110;360;1;Urban;Y
LP001291;Male;Yes;1;Graduate;No;3500;3077;160;360;1;Semiurban;
LP001644;;Yes;0;Graduate;Yes;674;5296;168;360;1;Rural;Y
LP002962;Male;No;0;Graduate;No;4000;2667;152;360;1;Semiurban;
LP001439;Male;Yes;0;Not Graduate;No;4300;2014;194;360;1;Rural;Y
LP001106;Male;Yes;0;Graduate;No;2275;2067;;360;1;Urban;Y
LP001186;Female;Yes;1;Graduate;Yes;11500;0;286;360;0;Urban;N
LP001266;Male;Yes;1;Graduate;Yes;2395;0;;360;1;Semiurban;Y
LP001923;Male;No;0;Not Graduate;No;2268;0;170;360;0;Semiurban;
LP002570;Female;Yes;2;Graduate;No;10000;11666;460;360;1;Urban;
LP001420;Male;Yes;3;Graduate;No;3829;1103;163;360;0;Urban;
LP002270;Male;Yes;1;Graduate;No;3436;3809;100;360;1;Rural;
LP001265;Female;No;0;Graduate;No;3846;0;111;360;1;Semiurban;Y
LP002920;Male;Yes;0;Graduate;No;5119;3769;120;360;1;Rural;
LP002746;Male;No;0;Graduate;No;5314;0;147;360;1;Urban;
LP002128;Male;Yes;2;Graduate;;2583;2330;125;360;1;Rural;Y
LP002415;Female;No;1;Graduate;;1850;4583;81;360;;Rural;
LP002791;Male;No;1;Graduate;;16000;5000;40;360;1;Semiurban;
LP001067;Male;No;0;Not Graduate;No;2400;2400;123;360;1;Semiurban;
LP001964;Male;Yes;0;Not Graduate;No;1800;2934;93;360;0;Urban;N
LP001639;Female;Yes;0;Graduate;No;3625;0;108;360;1;Semiurban;Y
LP001177;Female;No;0;Not Graduate;No;2478;0;75;360;1;Semiurban;
LP002308;Male;Yes;0;Not Graduate;No;2167;2400;115;360;1;Urban;Y
LP002017;Male;Yes;3;Graduate;No;15312;0;187;360;;Urban;
LP001169;Male;Yes;0;Graduate;No;7500;3750;275;360;1;Urban;
LP001187;Male;Yes;0;Graduate;No;2783;2708;158;360;1;Urban;
LP001507;Male;Yes;0;Graduate;No;2698;2034;122;360;1;Semiurban;Y
LP002969;Male;Yes;1;Graduate;No;2269;2167;99;360;1;Semiurban;
LP002609;Female;Yes;0;Graduate;No;2241;2000;88;360;0;Urban;
LP002287;Female;No;0;Graduate;No;1500;1800;103;360;0;Semiurban;N
LP002863;Male;Yes;3;Graduate;No;6406;0;150;360;1;Semiurban;N
LP001054;Male;Yes;0;Not Graduate;Yes;2165;3422;152;360;1;Urban;
LP002096;Male;Yes;0;Not Graduate;No;2000;1600;115;360;1;Rural;
LP002586;Female;Yes;1;Graduate;No;3326;913;105;84;1;Semiurban;Y
LP001066;Male;Yes;0;Graduate;Yes;9560;0;191;360;1;Semiurban;Y
LP002305;Female;No;0;Graduate;No;4547;0;115;360;1;Semiurban;Y
LP001841;Male;No;0;Not Graduate;Yes;2583;2167;104;360;1;Rural;Y
LP002420;Male;Yes;0;Graduate;No;2982;1550;110;360;1;Semiurban;
LP002836;Male;No;0;Graduate;No;3333;0;70;360;1;Urban;Y
LP001651;Male;Yes;3;Graduate;No;3350;1560;135;360;1;Urban;
LP002600;Male;Yes;1;Graduate;Yes;2895;0;95;360;1;Semiurban;Y
LP001027;Male;Yes;2;Graduate;;2500;1840;109;360;1;Urban;Y
LP001211;Male;No;0;Graduate;Yes;5833;0;116;360;1;Urban;
LP002954;Male;Yes;2;Not Graduate;No;3132;0;76;360;;Rural;
LP002522;Female;No;0;Graduate;Yes;2500;0;93;360;;Urban;Y
LP002849;Male;Yes;0;Graduate;No;1516;1951;35;360;1;Semiurban;
LP002337;Female;No;0;Graduate;No;2995;0;60;360;1;Urban;Y
LP002841;Male;Yes;0;Graduate;No;3166;2064;104;360;0;Urban;N
LP001909;Male;No;0;Graduate;No;5583;0;116;360;1;Urban;
LP001358;Male;Yes;0;Graduate;No;3445;0;130;360;0;Semiurban;
LP001655;Female;No;0;Graduate;No;12500;0;300;360;0;Urban;
LP001051;Male;No;0;Not Graduate;No;3276;0;78;360;1;Urban;
LP002031;Male;Yes;1;Not Graduate;No;3399;1640;111;180;1;Urban;Y
LP002219;Male;Yes;3;Graduate;No;8750;4996;130;360;1;Rural;Y
LP001205;Male;Yes;0;Graduate;No;2500;3796;120;360;1;Urban;Y
LP001770;Male;No;0;Not Graduate;No;3189;2598;120;;1;Rural;Y
LP001608;Male;Yes;2;Graduate;No;2045;1619;101;360;1;Rural;Y
LP001493;Male;Yes;2;Not Graduate;No;4200;1430;129;360;1;Rural;N
LP002693;Male;Yes;2;Graduate;Yes;7948;7166;480;360;1;Rural;Y
LP001097;Male;No;1;Graduate;Yes;4692;0;106;360;1;Rural;N
LP002717;Male;Yes;0;Graduate;No;1025;5500;216;360;;Rural;Y
LP002907;Male;Yes;0;Graduate;No;5817;910;109;360;1;Urban;
LP002459;Male;Yes;0;Graduate;No;4301;0;118;360;1;Urban;Y
LP002683;Male;No;0;Graduate;No;4683;1915;185;360;1;Semiurban;N
LP002417;Male;Yes;3;Not Graduate;No;2792;2619;171;360;1;Semiurban;
LP002843;Female;Yes;0;Graduate;No;4709;0;113;360;1;Semiurban;
LP001853;Male;Yes;1;Not Graduate;No;2463;2360;117;360;0;Urban;
LP001087;Female;No;2;Graduate;;3750;2083;120;360;1;Semiurban;Y
LP001487;Male;No;0;Graduate;No;4895;0;102;360;1;Semiurban;Y
LP001013;Male;Yes;0;Not Graduate;No;2333;1516;95;360;1;Urban;Y
LP002754;Male;No;;Graduate;No;2066;2108;104;84;1;Urban;
LP001226;Male;Yes;0;Not Graduate;No;1750;2024;90;360;1;Semiurban;
LP002211;Male;Yes;0;Graduate;No;4817;923;120;180;1;Urban;Y
LP001536;Male;Yes;3;Graduate;No;39999;0;600;180;0;Semiurban;Y
LP001891;Male;Yes;0;Graduate;No;11146;0;136;360;1;Urban;Y
LP002489;Female;No;1;Not Graduate;;5191;0;132;360;1;Semiurban;Y
LP002194;Female;No;0;Graduate;Yes;15759;0;55;360;1;Semiurban;Y
LP002103;;Yes;1;Graduate;Yes;9833;1833;182;180;1;Urban;Y
LP001768;Male;Yes;0;Graduate;;3716;0;42;180;1;Rural;Y
LP001726;Male;Yes;0;Graduate;No;3727;1775;131;360;1;Semiurban;Y
LP002201;Male;Yes;2;Graduate;Yes;9323;7873;380;300;1;Rural;Y
LP001859;Male;Yes;0;Graduate;No;14683;2100;304;360;1;Rural;N
LP001711;Male;Yes;3;Graduate;No;3430;1250;128;360;0;Semiurban;N
LP001263;Male;Yes;3;Graduate;No;3167;4000;180;300;0;Semiurban;N
LP002485;Male;No;1;Graduate;No;24797;0;240;360;1;Semiurban;
LP002582;Female;No;0;Not Graduate;Yes;17263;0;225;360;1;Semiurban;Y
